08出品者,08場所,フィールド1,神代０７,神代０８,07場所,07出品者,出典,修正・レコード内追加,修正事項,出所･担当等,品種名,交配親・産地,分類,花色,作出命名者,所属・Sec/原種　,発表見/掲載,読み,掲載,追加,フィールド3,フィールド2,担当者,入
,,○,,,,,BUX,,,,Bloomin Fool,Elaine x partita,cane,,Asmussen,TX,1985 ad97,ﾌﾞﾙｰﾐﾝ･ﾌｰﾙ,ad97,,,,,
,,○,,,,,BUX ACL,,,,Blue Rhapsody,Bokit x unk.,rhiz,pink,Yorke,Aust.,1983ACL#34ad97,ﾌﾞﾙｰ･ﾗﾌﾟｿﾃﾞｨ,ad97,,,,,
,,○,,,,,BUX,,,,Blushing Ivory,Jumbo Jet x Philippine cane,cane,rose,Brad Thompson,CA,1992 ad97,ﾌﾞﾗｯｼﾝｸﾞ･ｱｲﾎﾞﾘｰ,ad97,,,,,
,,○,,,,,BUX,,,,Bob's Trash,,z,,,,1991ad97,ﾎﾞﾌﾞｽ･ﾄﾗｯｼｭ,ad97,,,,,
,,○,,,,,BUX,,,,Bohemian,unk. parents,cane,,Brad Thompson,CA,1990 ad97,ﾎﾞﾍﾐｱﾝ,ad97,,,,,
,,○,,,,,BUX Beg'94,,,,Bo Jangles,Rip Van Winkle x Delta,rhiz,pink,Stewart,TX,1991pg76ad97,ﾎﾞｳ･ｼﾞｬﾝｸﾞﾙｽ,ad97,,,,,
,,○,,,,,JBS3,,,,Bow-bright,Bokit x Baby Perfection,rhiz,,Misono I.,Japan,1978 ad97,ﾎﾞｳ･ﾌﾞﾗｲﾄ,ad97,,,,,○
,,○,,,,,BUX,,,,Bozler,,rhiz,,Hazel Burley,Queensland,1992Sep ad97,ﾎﾞﾂﾗｰ,ad97,,,,,
,,○,,,,,BUX,,,,Brad's Big Boy,Jumbo Jet x Dumbo,cane,white/pink,Brad Thompson,CA,1992 ad97,ﾌﾞﾗｯｽﾞ･ﾋﾞｯｸﾞ･ﾎﾞｰｲ,ad97,,,,,○
,,○,,,,,BUX,,,,Brad's Ronnie Nevis,,cane,red,Brad Thompson,CA,1990 ad97,ﾌﾞﾗｯｽﾞ･ﾛﾆｰ･ﾈｲﾋﾞｽ,ad97,,,,,
,,○,,,,,BUX,,,,Brat Pack,Sunderana x lubbersii,cane,,Brad Thompson,CA,1990 ad97,ﾌﾞﾗｯﾄ･ﾊﾟｯｸ,ad97,,,,,
,,○,,,,,BUX,,,,Brazen Hussy,,z,,Caviness,OK,ad97,ﾌﾞﾚｲｽﾞﾝ･ ﾊｼｲ,ad97,,,,,
,,,,,,,BUX,,,,Bridal Satin,,tuber hyb.,dbl white,Jackson/Perkins,,1992 ad97,ﾌﾞﾗｲﾀﾞﾙ･ｻﾃﾝ,ad97,,,,,
,,○,,,,,BUX CB,,,,Brongniart,,rex,,Wm Bull  cat.,London,1883 ad97,ﾌﾞﾛﾝﾆｬｰﾙ,ad97,,,,,
,,○,,,,,JBS3,,,,Bronze Magic,Cora Miller x Midnight Magic,rex,red/white,Itoh A.,Japan,1996 ad97,ﾌﾞﾛﾝｽﾞ･ﾏｼﾞｯｸ,ad97,,,,,○
,,○,,,,,BUX,,,,Bubba,Purple Star x Helen Townsend,rhiz,,Stewart,TX,1990 ad97,ﾊﾞｯﾊﾞ,ad97,,,,,
佐藤守,D,○,○,○,F,,BUX Beg'92,○,入,,Bumblebee,,z,,Corwin,CA,p  48 ad97,ﾊﾞﾝﾌﾞﾙﾋﾞｰ,ad97,,,,,○
,,○,,,,,BUX JABS,,,,Burgundy Surprise,Sir Percy x unk.,rhiz,,Meyer,Aust.,(4) ad97,ﾊﾞｰｶﾞﾝﾃﾞｨ･ｻﾌﾟﾗｲｽﾞ,ad97,,,,,○
,,○,,,,,BUX,,,,Burmese Python,Peggy Frost x Bokit x carrieae,rhiz,pink,Brad Thompson,CA,1993 ad97,ﾊﾞｰﾐｰｽ ﾞ･ﾊﾟｲｿﾝ,ad97,,,,,
,,○,,,,,BUX,,,,Burning Bush,dipetala x U062,thick/stem,red,Stewart,TX,1992 ad97,ﾊﾞｰﾆﾝｸﾞ･ﾌﾞｯｼｭ,ad97,,,,,
,,○,,,,,BUX,,,,Cairo,Cleopatra x Bokit x carrieae,rhiz,pink,Brad Thompson,CA,1991 ad97,ｶｲﾛ,ad97,,,,,
,,○,,,,,BUX,,,,California Dreaming,Olei Silver Spot x Kristy,cane,red,Brad Thompson,CA,1992 ad97,ｶﾘﾌｫﾙﾆｱ･ﾄﾞﾘｰﾐﾝｸﾞ,ad97,,,,,
,,○,,,,,BUX,,,,Caprice,Olei Silver Spot x Lenore Olivier,cane,,Asmussen,TX,1986 ad97,ｶﾌﾟﾘｰｽ,ad97,,,,,
,,○,,,,,BUX,,,,Captain Hook,Jumbo Jet x Orange Rubra,cane,red,Brad Thompson,CA,1990 ad97,ｷｬﾌﾟﾃﾝ･ﾌｯｸ,ad97,,,,,
,,○,,,,,BUX MLT,,,,Cardinal,unk. parents,cane,red,Kartuz,CA,1977 ad97,ｶｰﾃﾞｨﾅﾙ,ad97,,,,,
